pokemon,total_batalhas,vitorias,taxa_vitoria
200,128,44.0,34.375
665,128,26.0,20.3125
19,128,80.0,62.5
39,128,51.0,39.84375
422,128,92.0,71.875
729,128,68.0,53.125
718,128,105.0,82.03125
791,127,40.0,31.496062992125985
258,127,46.0,36.22047244094488
256,127,17.0,13.385826771653544
748,127,93.0,73.22834645669292
213,127,67.0,52.75590551181102
574,127,113.0,88.9763779527559
464,127,34.0,26.77165354330709
217,127,33.0,25.984251968503933
191,127,30.0,23.62204724409449
337,127,89.0,70.07874015748031
396,127,39.0,30.708661417322837
727,127,122.0,96.06299212598425
41,127,20.0,15.748031496062993
320,127,65.0,51.181102362204726
44,127,103.0,81.10236220472441
607,127,46.0,36.22047244094488
494,127,97.0,76.37795275590551
674,127,105.0,82.67716535433071
741,127,46.0,36.22047244094488
731,127,92.0,72.44094488188976
610,127,91.0,71.65354330708661
295,127,36.0,28.346456692913385
724,126,104.0,82.53968253968253
24,126,119.0,94.44444444444444
645,126,55.0,43.65079365079365
363,126,22.0,17.46031746031746
276,126,119.0,94.44444444444444
297,126,11.0,8.73015873015873
294,126,10.0,7.936507936507936
56,126,68.0,53.96825396825397
21,126,47.0,37.301587301587304
624,126,27.0,21.428571428571427
124,126,95.0,75.39682539682539
520,126,73.0,57.936507936507944
459,126,21.0,16.666666666666664
664,126,45.0,35.714285714285715
359,126,48.0,38.095238095238095
388,126,83.0,65.87301587301587
450,126,56.0,44.44444444444444
500,126,30.0,23.809523809523807
247,126,58.0,46.03174603174603
331,126,28.0,22.22222222222222
685,126,72.0,57.14285714285714
210,125,6.0,4.8
702,125,112.0,89.60000000000001
356,125,34.0,27.200000000000003
176,125,9.0,7.199999999999999
517,125,48.0,38.4
229,125,76.0,60.8
209,125,90.0,72.0
704,125,121.0,96.8
4,125,70.0,56.00000000000001
300,125,86.0,68.8
478,125,106.0,84.8
407,125,38.0,30.4
487,125,29.0,23.200000000000003
483,125,70.0,56.00000000000001
339,125,110.0,88.0
705,125,108.0,86.4
707,125,91.0,72.8
497,125,49.0,39.2
30,125,72.0,57.599999999999994
646,125,83.0,66.4
366,125,82.0,65.60000000000001
420,125,107.0,85.6
636,125,26.0,20.8
456,125,14.0,11.200000000000001
67,125,90.0,72.0
725,125,71.0,56.8
165,125,119.0,95.19999999999999
721,124,57.0,45.96774193548387
561,124,31.0,25.0
695,124,34.0,27.419354838709676
467,124,112.0,90.32258064516128
447,124,11.0,8.870967741935484
269,124,70.0,56.451612903225815
288,124,101.0,81.45161290322581
773,124,109.0,87.90322580645162
597,124,54.0,43.54838709677419
678,124,11.0,8.870967741935484
361,124,70.0,56.451612903225815
238,124,9.0,7.258064516129033
736,124,55.0,44.354838709677416
761,124,14.0,11.29032258064516
303,124,59.0,47.58064516129033
763,124,17.0,13.709677419354838
378,124,15.0,12.096774193548388
471,124,22.0,17.741935483870968
580,124,60.0,48.38709677419355
642,124,45.0,36.29032258064516
651,124,72.0,58.06451612903226
51,124,44.0,35.483870967741936
317,124,41.0,33.064516129032256
442,124,54.0,43.54838709677419
137,124,81.0,65.32258064516128
640,124,9.0,7.258064516129033
74,124,32.0,25.806451612903224
385,124,34.0,27.419354838709676
787,124,71.0,57.25806451612904
615,124,45.0,36.29032258064516
296,123,69.0,56.09756097560976
744,123,46.0,37.39837398373984
482,123,17.0,13.821138211382115
382,123,33.0,26.82926829268293
587,123,72.0,58.536585365853654
42,123,49.0,39.83739837398374
602,123,26.0,21.138211382113823
455,123,48.0,39.02439024390244
221,123,37.0,30.081300813008134
717,123,118.0,95.9349593495935
299,123,79.0,64.22764227642277
329,123,48.0,39.02439024390244
441,123,57.0,46.34146341463415
437,123,79.0,64.22764227642277
373,123,41.0,33.33333333333333
365,123,36.0,29.268292682926827
280,123,104.0,84.5528455284553
201,123,30.0,24.390243902439025
701,123,105.0,85.36585365853658
270,123,107.0,86.99186991869918
279,123,79.0,64.22764227642277
408,123,43.0,34.959349593495936
637,123,37.0,30.081300813008134
458,123,18.0,14.634146341463413
180,123,28.0,22.76422764227642
206,123,87.0,70.73170731707317
28,123,103.0,83.73983739837398
237,123,4.0,3.2520325203252036
518,123,94.0,76.42276422764228
538,123,92.0,74.79674796747967
448,122,63.0,51.63934426229508
86,122,24.0,19.672131147540984
377,122,73.0,59.83606557377049
37,122,66.0,54.09836065573771
553,122,114.0,93.44262295081968
184,122,113.0,92.62295081967213
617,122,43.0,35.24590163934426
771,122,49.0,40.16393442622951
691,122,56.0,45.90163934426229
199,122,19.0,15.573770491803279
625,122,30.0,24.59016393442623
275,122,113.0,92.62295081967213
341,122,92.0,75.40983606557377
392,122,52.0,42.62295081967213
562,122,48.0,39.34426229508197
689,122,41.0,33.60655737704918
778,122,70.0,57.377049180327866
190,122,3.0,2.459016393442623
170,121,61.0,50.413223140495866
772,121,107.0,88.42975206611571
622,121,61.0,50.413223140495866
301,121,110.0,90.9090909090909
752,121,63.0,52.066115702479344
193,121,88.0,72.72727272727273
786,121,98.0,80.99173553719008
77,121,45.0,37.1900826446281
510,121,22.0,18.181818181818183
650,121,53.0,43.80165289256198
722,121,41.0,33.88429752066116
265,121,78.0,64.46280991735537
737,121,98.0,80.99173553719008
327,121,49.0,40.49586776859504
740,121,76.0,62.8099173553719
384,121,64.0,52.892561983471076
790,121,36.0,29.75206611570248
536,121,88.0,72.72727272727273
2,121,46.0,38.01652892561984
158,121,93.0,76.85950413223141
769,121,28.0,23.140495867768596
390,121,21.0,17.355371900826448
347,121,45.0,37.1900826446281
653,121,25.0,20.66115702479339
755,121,41.0,33.88429752066116
783,121,51.0,42.14876033057851
739,121,48.0,39.66942148760331
476,121,109.0,90.08264462809917
693,121,57.0,47.107438016528924
800,121,75.0,61.98347107438017
425,121,91.0,75.20661157024794
603,121,96.0,79.33884297520662
22,121,64.0,52.892561983471076
375,121,34.0,28.09917355371901
511,121,60.0,49.586776859504134
662,121,27.0,22.31404958677686
32,121,105.0,86.77685950413223
321,121,14.0,11.570247933884298
715,121,108.0,89.25619834710744
138,121,105.0,86.77685950413223
457,121,24.0,19.834710743801654
302,120,56.0,46.666666666666664
532,120,71.0,59.166666666666664
433,120,14.0,11.666666666666666
64,120,54.0,45.0
307,120,97.0,80.83333333333333
114,120,34.0,28.333333333333332
735,120,80.0,66.66666666666666
350,120,114.0,95.0
501,120,35.0,29.166666666666668
498,120,90.0,75.0
648,120,89.0,74.16666666666667
59,120,103.0,85.83333333333333
766,120,94.0,78.33333333333333
488,120,37.0,30.833333333333336
652,120,14.0,11.666666666666666
16,120,75.0,62.5
495,120,85.0,70.83333333333334
503,120,88.0,73.33333333333333
167,120,33.0,27.500000000000004
641,120,18.0,15.0
353,120,19.0,15.833333333333332
94,119,29.0,24.369747899159663
443,119,75.0,63.02521008403361
196,119,41.0,34.45378151260504
643,119,103.0,86.5546218487395
203,119,48.0,40.33613445378151
798,119,60.0,50.42016806722689
598,119,68.0,57.14285714285714
513,119,116.0,97.47899159663865
481,119,111.0,93.27731092436974
106,119,61.0,51.26050420168067
35,119,20.0,16.80672268907563
508,119,78.0,65.54621848739495
484,119,85.0,71.42857142857143
202,119,65.0,54.621848739495796
620,119,40.0,33.61344537815126
20,119,115.0,96.63865546218487
688,119,48.0,40.33613445378151
120,119,34.0,28.57142857142857
204,119,66.0,55.46218487394958
227,119,35.0,29.411764705882355
647,119,70.0,58.82352941176471
720,119,48.0,40.33613445378151
743,118,26.0,22.033898305084744
62,118,55.0,46.61016949152542
628,118,66.0,55.932203389830505
127,118,78.0,66.10169491525424
6,118,64.0,54.23728813559322
547,118,79.0,66.94915254237289
240,118,36.0,30.508474576271187
496,118,81.0,68.64406779661016
552,118,111.0,94.0677966101695
368,118,79.0,66.94915254237289
514,118,63.0,53.38983050847458
491,118,29.0,24.576271186440678
594,118,25.0,21.1864406779661
128,117,60.0,51.28205128205128
608,117,104.0,88.88888888888889
316,117,108.0,92.3076923076923
630,117,49.0,41.88034188034188
357,117,36.0,30.76923076923077
775,117,25.0,21.367521367521366
669,117,16.0,13.675213675213676
480,117,71.0,60.68376068376068
80,117,94.0,80.34188034188034
452,117,33.0,28.205128205128204
160,117,43.0,36.75213675213676
575,117,42.0,35.8974358974359
550,117,110.0,94.01709401709401
10,117,19.0,16.23931623931624
139,117,102.0,87.17948717948718
402,116,23.0,19.82758620689655
192,116,64.0,55.172413793103445
345,116,53.0,45.689655172413794
525,116,68.0,58.620689655172406
714,116,100.0,86.20689655172413
534,116,90.0,77.58620689655173
568,116,72.0,62.06896551724138
273,116,52.0,44.827586206896555
75,116,51.0,43.96551724137931
88,116,16.0,13.793103448275861
588,116,103.0,88.79310344827587
172,116,100.0,86.20689655172413
161,116,58.0,50.0
91,116,52.0,44.827586206896555
326,116,58.0,50.0
362,116,105.0,90.51724137931035
675,115,31.0,26.956521739130434
563,115,65.0,56.52173913043478
781,115,49.0,42.608695652173914
706,115,99.0,86.08695652173914
14,115,17.0,14.782608695652174
61,115,79.0,68.69565217391305
747,115,91.0,79.13043478260869
189,115,5.0,4.3478260869565215
84,115,86.0,74.78260869565217
723,115,67.0,58.26086956521739
792,115,107.0,93.04347826086956
65,114,91.0,79.82456140350878
469,114,71.0,62.28070175438597
521,114,91.0,79.82456140350878
185,114,60.0,52.63157894736842
504,114,29.0,25.438596491228072
129,114,55.0,48.24561403508772
569,114,59.0,51.75438596491229
606,114,106.0,92.98245614035088
102,114,88.0,77.19298245614034
506,114,28.0,24.561403508771928
315,114,25.0,21.929824561403507
649,114,91.0,79.82456140350878
285,114,27.0,23.684210526315788
168,113,49.0,43.36283185840708
166,113,94.0,83.1858407079646
728,113,44.0,38.93805309734513
613,113,65.0,57.52212389380531
473,113,71.0,62.83185840707964
243,113,37.0,32.743362831858406
533,113,79.0,69.91150442477876
417,113,35.0,30.973451327433626
298,113,48.0,42.47787610619469
109,113,66.0,58.4070796460177
234,113,106.0,93.80530973451327
435,113,39.0,34.51327433628318
633,113,100.0,88.49557522123894
661,113,12.0,10.619469026548673
749,112,35.0,31.25
108,112,67.0,59.82142857142857
746,112,58.0,51.78571428571429
436,112,47.0,41.964285714285715
354,112,26.0,23.214285714285715
671,112,68.0,60.71428571428571
381,112,37.0,33.035714285714285
188,112,7.0,6.25
765,112,59.0,52.67857142857143
351,112,45.0,40.17857142857143
5,112,55.0,49.107142857142854
336,112,82.0,73.21428571428571
156,112,40.0,35.714285714285715
466,111,68.0,61.261261261261254
343,111,76.0,68.46846846846847
545,111,74.0,66.66666666666666
17,111,26.0,23.423423423423422
472,111,102.0,91.8918918918919
659,111,22.0,19.81981981981982
666,111,34.0,30.630630630630627
519,111,79.0,71.17117117117117
555,111,51.0,45.94594594594595
703,111,94.0,84.68468468468468
101,111,77.0,69.36936936936937
98,111,21.0,18.91891891891892
178,111,36.0,32.432432432432435
207,111,14.0,12.612612612612612
72,110,86.0,78.18181818181819
153,110,79.0,71.81818181818181
757,110,34.0,30.909090909090907
485,110,14.0,12.727272727272727
346,110,21.0,19.090909090909093
413,110,57.0,51.81818181818182
266,110,25.0,22.727272727272727
644,110,18.0,16.363636363636363
611,110,89.0,80.9090909090909
589,109,70.0,64.22018348623854
621,109,32.0,29.357798165137616
220,109,16.0,14.678899082568808
235,109,26.0,23.853211009174313
686,109,57.0,52.293577981651374
421,108,97.0,89.81481481481481
69,108,35.0,32.407407407407405
509,108,26.0,24.074074074074073
76,108,23.0,21.296296296296298
121,108,48.0,44.44444444444444
358,108,59.0,54.629629629629626
195,108,24.0,22.22222222222222
371,108,54.0,50.0
499,108,96.0,88.88888888888889
63,108,85.0,78.70370370370371
253,108,53.0,49.074074074074076
767,107,34.0,31.775700934579437
287,107,31.0,28.971962616822427
795,107,80.0,74.76635514018692
271,107,77.0,71.96261682242991
583,107,100.0,93.45794392523365
777,106,64.0,60.37735849056604
429,106,99.0,93.39622641509435
187,105,36.0,34.285714285714285
796,105,39.0,37.142857142857146
34,105,56.0,53.333333333333336
274,105,76.0,72.38095238095238
85,105,91.0,86.66666666666667
489,104,8.0,7.6923076923076925
516,104,47.0,45.19230769230769
709,102,89.0,87.25490196078431
454,102,35.0,34.31372549019608
712,100,77.0,77.0
566,100,29.0,28.999999999999996
145,99,37.0,37.37373737373738
605,99,26.0,26.262626262626267
122,98,15.0,15.306122448979592
263,97,91.0,93.81443298969072
112,95,37.0,38.94736842105263
398,92,78.0,84.78260869565217
